SchoolName,Location_Code,District,Zip,Economic_Need_Index,School_Income_Estimate,Minorities,Black_or_Hispanic,Percent Hispanic,White,Student_Attendance_Rate,Percent_of_Students_Chronically_Absent,Rigorous_Instruction,Collaborative_Teachers,Supportive_Environment,Effective_School_Leadership,Strong_Family-Community_Ties,Trust,Average_ELA_Proficiency,Average_Math_Proficiency,ELAPassRate,ELApass,ELAWhiteRate,MathTesters,Mathpass,Mathpassrate,MathWhitePass,ELA_limited_pass,ELA_eco_pass,Math_limited_pass,Math_eco_pass,Latitude,Longitude
P.S._X15_INSTITUTE_FOR_ENVIRONMENTAL_LEARNING,1X15,1,1453,0.852,28779.66,1,0.98,0.85,,0.95,0.16,0.86,0.86,0.85,0.79,0.84,0.91,2.57,2.84,0.16,35,,331,62,0.187,,,0.571,,0.548,40.859165,-73.909733
"P.S./M.S._2_P.O.GEORGE_J._WERDANN,_III",1X2,1,1458,0.86,34155.6,0.92,0.82,0.73,0.8,0.92,0.29,0.88,0.82,0.84,0.69,0.75,0.85,2.32,2.34,0.46,31,0.97,684,21,0.31,0.95,,0.484,,0.619,40.869618,-73.879012
P.S._23_THE_NEW_CHILDREN'S_SCHOOL,1X23,1,1457,0.95,24966.63,0.99,0.99,0.62,0.1,0.91,0.34,0.79,0.89,0.82,0.78,0.81,0.91,2.13,2.14,0.17,4,,245,11,0.45,,,1,,1,40.85336,-73.894798
P.S._24_SPUYTEN_DUYVIL,1X24,1,1463,0.227,8132.51,0.61,0.48,0.42,0.39,0.94,0.13,0.82,0.71,0.86,0.57,0.85,0.77,2.87,3.9,0.218,95,0.537,433,141,0.326,0.54,,0.147,,0.156,40.887662,-73.91357
P.S._32_BELMONT,1X32,1,1458,0.925,22737.12,0.97,0.96,0.71,0.3,0.93,0.28,0.97,0.96,0.96,0.89,0.84,0.97,2.31,2.42,0.49,19,,393,24,0.61,,0.15,0.526,0.125,0.417,40.852095,-73.885739
P.S._33_TIMOTHY_DWIGHT,1X33,1,1468,0.91,27633.11,0.98,0.94,0.84,0.2,0.92,0.31,0.88,0.89,0.91,0.78,0.91,0.92,2.15,2.33,0.18,8,,464,29,0.63,,,0.75,0.69,0.793,40.861675,-73.901633
P.S._X37_-_MULTIPLE_INTELLIGENCE_SCHOOL,1X37,1,1463,0.752,6964.16,0.98,0.95,0.72,0.2,0.92,0.33,0.93,0.92,0.85,0.86,0.88,0.92,2.37,2.55,0.58,24,,415,53,0.128,,,0.625,0.113,0.679,40.87984,-73.910788
THOMAS_C._GIORDANO_MIDDLE_SCHOOL_45,1X45,1,1458,0.886,,0.96,0.94,0.78,0.4,0.91,0.32,0.87,0.86,0.82,0.75,0.73,0.88,2.27,2.15,0.23,16,,651,3,0.5,,,0.563,,0.667,40.858431,-73.887039
P.S._46_EDGAR_ALLAN_POE,1X46,1,1458,0.96,26555.51,0.98,0.95,0.8,0.2,0.92,0.29,0.9,0.87,0.89,0.76,0.81,0.92,2.8,2.24,0.31,16,,545,32,0.59,,,0.813,0.31,0.75,40.858431,-73.887039
P.S._51_BRONX_NEW_SCHOOL,1X51,1,1457,0.714,32539.98,0.98,0.96,0.59,0.2,0.94,0.21,0.99,0.9,0.98,0.84,0.83,0.96,2.49,2.54,0.69,6,,87,8,0.92,,,0.167,,0.125,40.850632,-73.88653
P.S./I.S._54,1X54,1,1458,0.896,24568.96,0.99,0.97,0.7,0.1,0.92,0.25,0.91,0.87,0.88,0.79,0.84,0.9,2.27,2.2,0.28,6,,219,2,0.9,,,0.333,,,40.864937,-73.887793
P.S._56_NORWOOD_HEIGHTS,1X56,1,1467,0.821,36131.36,0.94,0.71,0.63,0.6,0.93,0.25,0.97,0.93,0.93,0.88,0.82,0.95,2.7,3.1,0.14,38,0.15,374,7,0.187,0.71,,0.684,0.14,0.771,40.872439,-73.875912
P.S._59_THE_COMMUNITY_SCHOOL_OF_TECHNOLOGY,1X59,1,1457,0.934,2246.2,0.99,0.96,0.68,0.1,0.91,0.38,0.94,0.94,0.92,0.89,0.92,0.96,2.13,2.3,0.7,2,,275,8,0.29,,,0.5,,0.375,40.85306,-73.893421
J.H.S._8_THE_MOSHOLU_PARKWAY,1X8,1,1467,0.827,,0.95,0.81,0.67,0.5,0.89,0.38,0.87,0.79,0.81,0.7,0.74,0.84,2.16,2.7,0.19,11,,561,21,0.37,,,0.99,0.95,0.952,40.876823,-73.88124
P.S._81_ROBERT_J._CHRISTEN,1X81,1,1471,0.357,71366.79,0.7,0.59,0.49,0.3,0.94,0.17,0.93,0.92,0.99,0.83,0.9,0.96,2.81,3.8,0.189,44,0.523,231,77,0.333,0.442,,0.182,,0.26,40.903455,-73.904682
P.S._85_GREAT_EXPECTATIONS,1X85,1,1458,0.925,23548.89,1,0.98,0.69,,0.91,0.35,0.84,0.82,0.82,0.7,0.81,0.85,2.2,2.5,0.11,5,,489,1,0.2,,,0.8,0.2,1,40.858852,-73.894829
P.S._86_KINGSBRIDGE_HEIGHTS,1X86,1,1468,0.878,33865.7,0.99,0.94,0.86,0.1,0.94,0.2,0.95,0.95,0.93,0.88,0.83,0.96,2.47,2.8,0.111,95,,881,186,0.211,0.5,0.11,0.726,0.65,0.763,40.869847,-73.898263
P.S._91_BRONX,1X91,1,1453,0.93,29919.76,0.98,0.94,0.76,0.2,0.91,0.36,0.82,0.76,0.8,0.66,0.78,0.75,2.33,2.52,0.5,16,,331,29,0.88,,,0.875,0.69,0.897,40.858716,-73.907408
P.S._94_KINGS_COLLEGE_SCHOOL,1X94,1,1467,0.862,3344.63,0.97,0.84,0.68,0.3,0.91,0.34,0.86,0.86,0.88,0.74,0.82,0.93,2.17,2.22,0.22,12,,557,16,0.29,,,0.917,0.63,0.938,40.88051,-73.875267
P.S._95_SHEILA_MENCHER,1X95,1,1463,0.786,42357.53,0.96,0.87,0.7,0.4,0.92,0.29,0.85,0.71,0.84,0.63,0.87,0.82,2.41,2.41,0.47,37,,752,35,0.47,,,0.622,0.29,0.743,40.883022,-73.891672
J.H.S._118_WILLIAM_W._NILES,1X118,1,1457,0.843,,0.97,0.81,0.6,0.3,0.92,0.26,0.84,0.76,0.83,0.69,0.69,0.88,2.54,2.59,0.142,15,0.33,158,175,0.165,0.4,,0.853,,0.869,40.848559,-73.89257
RIVERDALE_/_KINGSBRIDGE_ACADEMY_(MIDDLE_SCHOOL_/_HIGH_SCHOOL_141),1X141,1,1463,0.418,,0.74,0.66,0.56,0.26,0.94,0.13,0.84,0.81,0.82,0.75,0.75,0.86,2.74,2.93,0.15,96,0.438,587,12,0.174,0.451,,0.281,0.1,0.314,40.887701,-73.913605
P.S._159_LUIS_MUNOZ_MARIN_BILING,1X159,1,1457,0.97,2337.95,0.99,0.98,0.9,0.1,0.93,0.26,0.99,0.99,0.96,0.93,0.93,1,2.33,2.43,0.7,6,,87,6,0.69,,,0.667,,0.667,40.855521,-73.893276
P.S._25_FIORELLO_LAGUARDIA,1X25,1,1458,0.887,2397.92,0.95,0.94,0.79,0.5,0.93,0.26,0.88,0.91,0.93,0.8,0.83,0.94,2.4,2.51,0.2,1,0.2,512,24,0.47,0.167,,0.8,0.42,0.833,40.855742,-73.881407
I.S._26_ANN_MERSEREAU,1X26,1,1468,0.99,,0.99,0.97,0.78,0.1,0.91,0.33,0.89,0.91,0.83,0.83,0.84,0.94,2.6,2.12,0.19,4,,225,2,0.9,,,0.75,,0.5,40.859604,-73.906275
THEATRE_ARTS_PRODUCTION_COMPANY_SCHOOL,1X225,1,1457,0.86,,0.98,0.95,0.68,0.2,0.92,0.26,0.84,0.87,0.81,0.8,0.76,0.91,2.38,2.48,0.44,8,,178,1,0.56,,,0.625,,0.6,40.854655,-73.897036
P.S._226,1X226,1,1453,0.93,325.5,1,0.98,0.76,,0.93,0.23,0.82,0.8,0.86,0.7,0.81,0.85,2.22,2.34,0.41,9,,232,15,0.65,,,,,0.267,40.855568,-73.91622
JONAS_BRONCK_ACADEMY,1X228,1,1458,0.821,,0.98,0.91,0.72,0.2,0.98,0.2,0.91,0.92,0.92,0.86,0.86,0.94,2.7,2.66,0.15,27,,257,16,0.62,,,0.889,,1,40.861305,-73.891283
WEST_BRONX_ACADEMY_FOR_THE_FUTURE,1X243,1,1458,0.851,,0.98,0.95,0.75,0.2,0.92,0.25,0.84,0.85,0.81,0.82,0.74,0.89,2.35,2.32,0.3,7,,28,1,0.5,,,,,,40.859516,-73.88858
THE_NEW_SCHOOL_FOR_LEADERSHIP_AND_JOURNALISM,1X244,1,1463,0.85,,0.97,0.94,0.83,0.3,0.93,0.24,0.92,0.88,0.89,0.86,0.84,0.92,2.51,2.49,0.74,53,0.94,683,48,0.7,0.21,,0.868,0.42,0.896,40.875451,-73.901516
P.S._246_POE_CENTER,1X246,1,1468,0.88,34941.39,0.98,0.95,0.85,0.2,0.92,0.3,0.81,0.82,0.86,0.67,0.84,0.91,2.13,2.3,0.9,3,,358,14,0.39,0.71,,1,0.71,1,40.865975,-73.895314
I.S._254,1X254,1,1458,0.885,,0.99,0.95,0.78,0.1,0.91,0.3,0.77,0.83,0.83,0.74,0.76,0.88,2.2,2.25,0.21,9,,448,27,0.6,,,0.667,0.37,0.667,40.858858,-73.889841
"P.S._279_CAPTAIN_MANUEL_RIVERA,_JR.",1X279,1,1453,0.918,26313.1,1,0.96,0.79,,0.93,0.26,0.9,0.92,0.88,0.89,0.87,0.93,2.26,2.33,0.3,2,,694,4,0.58,,,0.85,0.25,0.7,40.854751,-73.905024
P.S./M.S._28_MOSHOLU_PARKWAY,1X28,1,1467,0.837,37116.54,0.95,0.83,0.74,0.5,0.93,0.22,0.95,0.92,0.96,0.84,0.81,0.94,2.48,2.66,0.57,34,0.59,596,57,0.96,0.53,,0.559,,0.614,40.877179,-73.881546
P.S._291,1X291,1,1453,0.923,24753.36,1,0.99,0.88,,0.91,0.3,0.97,0.96,0.97,0.93,0.86,0.98,2.4,2.67,0.82,26,,327,44,0.135,,0.38,0.88,0.91,0.659,40.859165,-73.909733
P.S._36,1X36,1,1453,0.91,2344.61,0.99,0.98,0.7,0.1,0.92,0.27,0.86,0.76,0.88,0.69,0.84,0.85,2.19,2.3,0.3,11,,383,13,0.34,,,0.545,0.154,0.769,40.851349,-73.910712
LUISA_PINEIRO_FUENTES_SCHOOL_OF_SCIENCE_AND_DISCOVERY,1X37,1,1468,0.836,35736.86,0.99,0.91,0.82,0.1,0.95,0.16,0.91,0.93,0.9,0.85,0.84,0.96,2.27,2.43,0.3,5,,167,1,0.6,,,0.8,,0.6,40.869145,-73.901836
BRONX_DANCE_ACADEMY_SCHOOL,1X38,1,1467,0.824,,0.99,0.97,0.77,0.1,0.94,0.18,0.89,0.86,0.86,0.74,0.73,0.86,2.52,2.54,0.5,13,,222,7,0.32,,,0.846,,0.714,40.885328,-73.878058
P.S._31_MARBLE_HILL,1X31,1,1463,0.874,36529.19,0.97,0.95,0.85,0.3,0.93,0.21,0.93,0.84,0.92,0.74,0.82,0.86,2.23,2.56,0.27,9,,341,32,0.94,,,0.444,0.63,0.25,40.872481,-73.905299
P.S._315_LAB_SCHOOL,1X315,1,1453,0.868,26738.54,0.99,0.98,0.82,0.1,0.94,0.19,0.95,0.93,0.8,0.9,0.87,0.89,2.46,2.61,0.125,24,,192,2,0.14,,,0.292,,0.4,40.857969,-73.903757
THE_BRONX_SCHOOL_OF_YOUNG_LEADERS,1X331,1,1453,0.894,,0.99,0.98,0.74,0.1,0.94,0.2,0.85,0.86,0.85,0.81,0.84,0.9,2.2,2.14,0.21,7,,355,9,0.25,,,0.714,0.111,0.778,40.851349,-73.910712
P.S._34,1X34,1,1468,0.99,33837.87,0.98,0.94,0.85,0.2,0.92,0.3,0.9,0.95,0.93,0.86,0.83,0.97,2.29,2.52,0.33,9,,284,25,0.88,,,0.667,,0.8,40.869429,-73.897161
INTERNATIONAL_SCHOOL_FOR_LIBERAL_ARTS,1X342,1,1468,0.857,,1,1,0.99,,0.97,0.8,0.91,0.93,0.87,0.88,0.82,0.92,2.15,2.18,0.22,3,,146,1,0.7,,,1,,1,40.870295,-73.897019
AMPARK_NEIGHBORHOOD,1X344,1,1463,0.421,54446.9,0.8,0.73,0.6,0.2,0.94,0.11,0.95,0.95,0.94,0.91,0.91,0.96,2.74,2.95,0.133,25,0.24,19,47,0.247,0.34,,0.28,,0.319,40.883022,-73.891672
P.S._36,1X36,1,1463,0.794,39138.83,0.97,0.95,0.84,0.3,0.91,0.31,0.88,0.82,0.9,0.67,0.79,0.86,2.22,2.13,0.49,9,,188,6,0.32,,,0.556,,0.5,40.874718,-73.902209
ACADEMY_FOR_PERSONAL_LEADERSHIP_AND_EXCELLENCE,1X363,1,1468,0.886,,0.99,0.96,0.85,0.1,0.92,0.27,0.92,0.91,0.87,0.9,0.8,0.93,2.24,2.15,0.25,1,,41,,,,,0.1,,,40.859506,-73.900475
IN-TECH_ACADEMY_(M.S._/_HIGH_SCHOOL_368),1X368,1,1463,0.749,,0.96,0.91,0.82,0.4,0.94,0.22,0.77,0.73,0.81,0.64,0.71,0.84,2.37,2.28,0.86,36,0.28,417,25,0.6,,,0.861,,0.84,40.87956,-73.909674
"ELEMENTARY_SCHOOL_FOR_MATH,_SCIENCE,_AND_TECHNOLOGY",1X382,1,1453,0.918,23846.2,1,0.99,0.75,,0.94,0.2,0.91,0.89,0.9,0.85,0.78,0.93,2.23,2.3,0.38,5,,14,9,0.64,,,,,,40.855211,-73.903264
SCHOOL_FOR_ENVIRONMENTAL_CITIZENSHIP,1X386,1,1453,0.931,23981.38,0.99,0.98,0.83,0.1,0.93,0.23,0.83,0.83,0.89,0.72,0.83,0.86,2.23,2.25,0.28,6,,219,6,0.27,,,1,,1,40.855211,-73.903264
M.S._39,1X39,1,1453,0.911,,0.99,0.98,0.85,0.1,0.93,0.24,0.84,0.84,0.82,0.8,0.77,0.86,2.15,2.13,0.7,3,,422,6,0.14,,,1,,1,40.854367,-73.913024
THE_ANGELO_PATRI_MIDDLE_SCHOOL,1X391,1,1457,0.911,,0.99,0.97,0.72,0.1,0.9,0.35,0.86,0.84,0.82,0.78,0.8,0.88,2.9,1.98,0.18,8,,478,15,0.31,,0.125,0.875,0.67,0.867,40.854655,-73.897036
P.S._396,1X396,1,1453,0.893,28539.68,0.98,0.98,0.76,0.2,0.93,0.23,0.86,0.87,0.87,0.81,0.87,0.9,2.3,2.38,0.39,6,,157,1,0.64,,,0.667,,0.6,40.854367,-73.913024
CRESTON_ACADEMY,1X447,1,1453,0.898,,0.99,0.96,0.84,0.1,0.92,0.26,0.91,0.93,0.86,0.9,0.87,0.93,2.3,2.33,0.43,19,,466,41,0.88,,,0.895,,0.854,40.855211,-73.903264
EAST_FORDHAM_ACADEMY_FOR_THE_ARTS,1X459,1,1468,0.881,,0.99,0.97,0.84,0.1,0.92,0.27,0.77,0.78,0.83,0.71,0.78,0.83,2.14,1.97,0.2,6,,39,1,0.3,,,0.833,1,1,40.859506,-73.900475
P.S._16_WAKEFIELD,11X16,11,147,0.772,45746.42,0.98,0.86,0.28,0.2,0.9,0.37,0.9,0.87,0.9,0.81,0.85,0.88,2.25,2.37,0.46,1,,222,11,0.5,,,0.2,,0.91,40.90237,-73.854546
P.S._19_JUDITH_K._WEISS,11X19,11,147,0.35,6284.53,0.41,0.36,0.28,0.59,0.95,0.9,0.96,0.96,0.89,0.94,0.83,0.95,2.81,2.98,0.16,52,0.654,324,62,0.191,0.677,,0.538,,0.484,40.899321,-73.867223
P.S._21_PHILIP_H._SHERIDAN,11X21,11,1466,0.783,36662.41,0.99,0.94,0.24,0.1,0.9,0.39,0.88,0.91,0.86,0.76,0.79,0.93,2.23,2.31,0.13,4,,31,1,0.32,,,0.75,,0.7,40.88794,-73.859406
P.S._41_GUN_HILL_ROAD,11X41,11,1467,0.833,35475.19,0.98,0.96,0.43,0.2,0.9,0.39,0.97,0.95,0.94,0.92,0.87,0.96,2.42,2.57,0.62,3,,49,49,0.1,,,0.767,,0.592,40.874682,-73.867877
P.S._68_BRONX,11X68,11,1466,0.617,58477.18,0.99,0.95,0.19,0.1,0.93,0.23,0.87,0.81,0.87,0.7,0.82,0.8,2.34,2.45,0.46,17,,37,23,0.62,,,0.588,,0.348,40.891483,-73.838736
P.S._76_THE_BENNINGTON_SCHOOL,11X76,11,1469,0.716,4759.79,0.92,0.87,0.42,0.8,0.93,0.25,0.88,0.79,0.88,0.67,0.83,0.85,2.25,2.36,0.27,14,0.143,518,24,0.46,0.83,,0.786,0.42,0.583,40.869164,-73.860906
P.S._78_ANNE_HUTCHINSON,11X78,11,1469,0.759,525.2,0.96,0.94,0.22,0.4,0.91,0.34,0.89,0.9,0.91,0.77,0.8,0.89,2.21,2.3,0.4,14,,357,21,0.59,,,0.857,0.48,0.857,40.878465,-73.85058
P.S._83_DONALD_HERTZ,11X83,11,1462,0.611,51523.99,0.68,0.58,0.49,0.32,0.95,0.11,0.85,0.87,0.84,0.76,0.77,0.87,2.6,2.76,0.113,132,0.326,1161,196,0.169,0.367,,0.333,0.5,0.357,40.849167,-73.858861
P.S._87_BRONX,11X87,11,1466,0.688,528.62,0.99,0.87,0.16,0.1,0.94,0.18,0.91,0.85,0.84,0.82,0.82,0.92,2.32,2.51,0.45,14,,318,27,0.85,,,0.857,,0.926,40.895363,-73.845825
P.S._89_BRONX,11X89,11,1469,0.737,42125.55,0.83,0.76,0.54,0.17,0.93,0.22,0.88,0.85,0.82,0.82,0.78,0.87,2.3,2.29,0.53,43,0.29,769,6,0.78,0.233,0.47,0.651,0.33,0.65,40.862563,-73.859202
P.S._96_RICHARD_RODGERS,11X96,11,1467,0.774,38623.61,0.91,0.86,0.61,0.9,0.91,0.32,0.95,0.94,0.96,0.86,0.82,0.94,2.41,2.64,0.8,38,0.158,486,54,0.111,0.222,,0.526,,0.5,40.861185,-73.868521
P.S._97_BRONX,11X97,11,1469,0.541,66488.21,0.84,0.65,0.36,0.16,0.94,0.2,0.93,0.81,0.92,0.68,0.87,0.86,2.53,2.71,0.79,26,0.38,331,37,0.112,0.54,,0.731,0.27,0.757,40.863072,-73.846947
P.S._13_HECTOR_FONTANEZ,11X13,11,1466,0.813,32671.9,0.97,0.9,0.37,0.3,0.91,0.35,0.94,0.94,0.94,0.88,0.81,0.95,2.34,2.31,0.38,2,,54,21,0.39,,,0.85,,0.81,40.892319,-73.861898
P.S._15_SEN_ABRAHAM_BERNSTEIN,11X15,11,1462,0.82,412.93,0.87,0.77,0.66,0.13,0.93,0.23,0.88,0.77,0.88,0.64,0.73,0.8,2.42,2.58,0.69,44,0.114,66,77,0.117,0.143,0.23,0.75,0.39,0.85,40.852767,-73.866401
P.S._16_PARKCHESTER,11X16,11,1462,0.76,44552.48,0.96,0.61,0.35,0.4,0.93,0.23,0.94,0.92,0.92,0.85,0.82,0.94,2.54,2.76,0.73,39,0.51,55,74,0.135,0.14,,0.436,0.54,0.554,40.837105,-73.85484
P.S._18_PHILIP_J._ABINANTI,11X18,11,1461,0.55,53439.93,0.63,0.5,0.44,0.37,0.94,0.17,0.92,0.8,0.93,0.67,0.79,0.84,2.72,2.92,0.111,27,0.333,25,51,0.24,0.353,,0.63,0.39,0.667,40.854535,-73.852919
P.S._111_SETON_FALLS,11X111,11,1466,0.779,39415.18,0.99,0.97,0.36,0.1,0.91,0.34,0.78,0.64,0.79,0.5,0.77,0.73,2.12,2.15,0.15,5,,339,9,0.27,,,0.6,,0.778,40.884355,-73.839263
P.S._112_BRONXWOOD,11X112,11,1466,0.94,2679.85,0.98,0.98,0.5,0.2,0.91,0.44,0.9,0.94,0.91,0.87,0.85,0.96,2.8,2.9,,,,171,1,0.6,,,,,1,40.884792,-73.843995
P.S._121_THROOP,11X121,11,1469,0.666,44929.61,0.96,0.88,0.26,0.4,0.93,0.26,0.91,0.83,0.95,0.66,0.8,0.85,2.45,2.69,0.78,34,,437,67,0.153,,,0.412,,0.478,40.866944,-73.850467
J.H.S._127_THE_CASTLE_HILL,11X127,11,1462,0.716,,0.96,0.64,0.41,0.4,0.94,0.17,0.9,0.93,0.84,0.89,0.76,0.93,2.49,2.62,0.74,52,,681,39,0.57,,,0.654,0.154,0.769,40.838494,-73.853201
J.H.S._144_MICHELANGELO,11X144,11,1469,0.691,,0.98,0.94,0.29,0.2,0.9,0.33,0.89,0.91,0.83,0.84,0.73,0.86,2.29,2.1,0.39,18,,429,6,0.14,,,0.611,0.167,0.833,40.86429,-73.836566
P.S._153_HELEN_KELLER,11X153,11,1475,0.443,47216.26,0.95,0.84,0.25,0.5,0.95,0.15,0.9,0.91,0.9,0.84,0.85,0.96,2.77,3.1,0.24,76,0.13,37,99,0.268,0.4,,0.526,,0.586,40.873045,-73.833345
P.S._16_WALT_DISNEY,11X16,11,1475,0.512,5132.5,0.98,0.93,0.33,0.2,0.94,0.18,0.91,0.9,0.93,0.82,0.83,0.94,2.31,2.25,0.6,1,,169,1,0.6,,,0.7,,1,40.864136,-73.82396
BAYCHESTER_ACADEMY,11X169,11,1466,0.672,5424.91,0.98,0.93,0.21,0.2,0.94,0.21,0.96,0.93,0.96,0.88,0.86,0.91,2.5,2.73,0.15,2,,193,43,0.223,,,0.7,,0.698,40.880961,-73.839642
P.S._175_CITY_ISLAND,11X175,11,1464,0.247,7313.77,0.46,0.38,0.29,0.54,0.95,0.13,0.93,0.96,0.85,0.88,0.87,0.9,2.86,3.3,0.124,26,0.654,21,53,0.252,0.736,,0.154,,0.264,40.84379,-73.784691
P.S._178_-_DR._SELMAN_WAKSMAN,11X178,11,1475,0.535,44313.87,0.96,0.91,0.27,0.4,0.95,0.15,0.93,0.83,0.88,0.75,0.78,0.88,2.41,2.6,0.45,12,0.83,268,19,0.71,0.53,,0.583,,0.632,40.875146,-73.833095
M.S._18_DR._DANIEL_HALE_WILLIAMS,11X18,11,1475,0.54,,0.97,0.92,0.23,0.3,0.95,0.13,0.87,0.94,0.86,0.9,0.94,0.94,2.71,2.71,0.13,18,0.28,826,11,0.133,0.18,,0.63,,0.691,40.873204,-73.832178
I.S._181_PABLO_CASALS,11X181,11,1475,0.534,,0.96,0.89,0.26,0.4,0.93,0.21,0.87,0.9,0.86,0.84,0.77,0.91,2.66,2.67,0.129,16,0.28,88,15,0.186,0.2,,0.67,,0.673,40.874988,-73.832178
CORNERSTONE_ACADEMY_FOR_SOCIAL_ACTION,11X189,11,1475,0.742,43493.31,0.98,0.96,0.41,0.2,0.92,0.3,0.88,0.92,0.84,0.88,0.84,0.94,2.37,2.54,0.19,3,,161,1,0.62,,,0.333,,0.7,40.883064,-73.830908
P.S./M.S._194,11X194,11,1462,0.764,45253.24,0.96,0.61,0.53,0.4,0.95,0.16,0.92,0.87,0.85,0.79,0.76,0.88,2.5,2.82,0.81,73,0.14,882,132,0.15,0.15,,0.548,0.8,0.591,40.835236,-73.846547
NORTH_BRONX_SCHOOL_OF_EMPOWERMENT,11X287,11,1467,0.737,,0.99,0.92,0.33,0.1,0.89,0.39,0.86,0.84,0.78,0.84,0.73,0.88,2.15,1.97,0.41,9,,223,3,0.13,,,0.667,,0.333,40.880634,-73.860155
THE_YOUNG_SCHOLARS_ACADEMY_OF_THE_BRONX,11X289,11,1467,0.731,,0.98,0.95,0.25,0.2,0.91,0.33,0.9,0.9,0.74,0.82,0.75,0.88,2.16,2.9,0.7,2,,29,3,0.1,,,,,1,40.880634,-73.860155
BRONX_GREEN_MIDDLE_SCHOOL,11X326,11,1467,0.778,,0.91,0.83,0.57,0.9,0.92,0.27,0.91,0.92,0.85,0.88,0.78,0.93,2.28,2.26,0.35,13,,345,14,0.41,0.214,,0.923,0.71,0.929,40.86206,-73.864588
BRONX_ALLIANCE_MIDDLE_SCHOOL,11X355,11,1466,0.729,,0.98,0.92,0.31,0.2,0.93,0.26,0.84,0.89,0.82,0.82,0.84,0.92,2.8,2.8,0.17,6,,35,2,0.6,,,1,,1,40.886043,-73.840576
LEADERS_OF_TOMORROW,11X37,11,1467,0.771,,0.97,0.9,0.4,0.3,0.88,0.46,0.93,0.88,0.81,0.88,0.77,0.91,2.13,2.6,0.28,6,,21,1,0.5,,,1,,1,40.880634,-73.860155
CORNERSTONE_ACADEMY_FOR_SOCIAL_ACTION_MIDDLE_SCHOOL_(CASA),11X462,11,1475,0.631,,0.98,0.97,0.29,0.2,0.93,0.22,0.91,0.84,0.86,0.79,0.78,0.9,2.49,2.53,0.13,17,,163,14,0.86,,,0.882,,0.786,40.883064,-73.830908
PELHAM_ACADEMY_OF_ACADEMICS_AND_COMMUNITY_ENGAGEMENT,11X468,11,1467,0.75,,0.9,0.82,0.64,0.1,0.93,0.17,0.86,0.93,0.9,0.89,0.83,0.9,2.46,2.36,0.65,21,0.143,34,19,0.56,,,0.667,,0.632,40.86206,-73.864588
P.S./M.S._11X498_-_VAN_NEST_ACADEMY,11X498,11,1462,0.647,45355.72,0.86,0.78,0.65,0.14,0.95,0.1,0.91,0.88,0.87,0.86,0.82,0.9,2.65,2.76,0.1,45,0.133,449,56,0.125,0.214,,0.756,,0.679,40.845031,-73.857976
ONE_WORLD_MIDDLE_SCHOOL_AT_EDENWALD,11X529,11,1466,0.71,,0.98,0.93,0.32,0.2,0.93,0.24,0.89,0.9,0.84,0.88,0.79,0.93,2.34,2.31,0.32,1,,38,21,0.68,,,0.7,,0.81,40.886043,-73.840576
BAYCHESTER_MIDDLE_SCHOOL,11X532,11,1466,0.72,,0.99,0.95,0.27,0.1,0.93,0.26,0.85,0.83,0.89,0.8,0.8,0.84,2.25,2.52,0.11,3,,279,7,0.25,,,0.667,,0.714,40.886043,-73.840576
BRONX_PARK_MIDDLE_SCHOOL,11X556,11,1467,0.77,,0.91,0.83,0.57,0.9,0.92,0.27,0.89,0.88,0.8,0.83,0.84,0.9,2.19,2.15,0.39,15,0.67,39,16,0.41,0.188,,0.733,0.125,0.813,40.86206,-73.864588
PELHAM_GARDENS_MIDDLE_SCHOOL,11X566,11,1469,0.714,,0.98,0.95,0.27,0.2,0.92,0.31,0.84,0.91,0.87,0.88,0.78,0.94,2.29,2.22,0.34,15,,45,6,0.13,,,0.467,,0.667,40.86429,-73.836566
LINDEN_TREE_ELEMENTARY_SCHOOL,11X567,11,1462,,4689.41,0.97,0.8,0.64,0.3,,,,,,,,,,,0.17,1,,65,2,0.31,,,,,,40.838494,-73.853201
P.S._6_WEST_FARMS,12X6,12,146,0.932,232.82,0.99,0.97,0.72,0.1,0.89,0.45,0.89,0.88,0.83,0.67,0.82,0.88,2.12,2.22,0.25,6,,243,12,0.49,,,0.5,,0.417,40.840605,-73.88219
P.S._44_DAVID_C._FARRAGUT,12X44,12,1457,0.919,25112.45,0.99,0.98,0.68,0.1,0.9,0.4,0.94,0.73,0.72,0.51,0.81,0.74,2.26,2.35,0.9,1,,119,8,0.67,,,,,,40.842605,-73.890915
P.S._47_JOHN_RANDOLPH,12X47,12,1472,0.856,33612.34,0.98,0.84,0.68,0.2,0.93,0.24,0.97,0.94,0.96,0.84,0.85,0.94,2.3,2.28,0.13,7,,579,3,0.52,,,0.857,0.67,0.933,40.832525,-73.866982
P.S._57_CRESCENT,12X57,12,1457,0.899,26933.86,0.99,0.95,0.71,0.1,0.9,0.42,0.95,0.95,0.95,0.88,0.84,0.94,2.28,2.33,0.31,7,,23,6,0.26,,,0.714,,0.5,40.848711,-73.888912
P.S._61_FRANCISCO_OLLER,12X61,12,146,0.87,2419.42,1,0.99,0.76,,0.94,0.17,0.94,0.87,0.92,0.71,0.89,0.77,2.17,2.44,0.21,3,,145,3,0.21,,,1,,1,40.836359,-73.89275
